Paper ID,Paper Title
529,Automatic Bird Species Recognition using audio and image data: A Short  Review
534,A Blockchain assisted fog computing framework for secure data sharing mechanism in smart home
539,An Optimized Clustering Model for Energy-Efficient Routing in IoT Networks
540,Node Overlapping Detection for Draggable Node-based Applications
546,Optimizing Experimentation Time in A/B Testing: An Analysis of Two-Part Tests and Upper Bounding Techniques
548,Efficient Energy Trading and Charging System : Electric Vehicles with Blockchain 
549,Extended LSTM-KNN ensemble model for predicting volatility in day to day closure stocks
551,Parkinson?s Disease Diagnosis Using Deep Convolutional Neural Networks
552,Proactive Horizontal Pod Autoscaling in Kubernetes using  Bi-LSTM
556,Reconfigurable Intelligent Surface-Assisted OFDM-IM for Beyond 5G Mobile Networks: \\ ML and LLR Detector Designs
560,Data Analysis on Hypothyroid Profiles using Machine Learning Algorithms
561,Scrutinization and Abstraction of Unstructured Electronic Health Records using Natural Language Processing and Deep Learning
564, Multi-agent Systems for Resource Allocation in Cloud Computing
566,Predictive Analysis of Stroke Prediction by using Machine Learning Implementations
570,Evolving Deep Neural Network Architectures by Sine Cosine Algorithm for Healthcare 4.0
572,Brain Tumor Detection using Hyper Parameter Tuning and Transfer Learning
573,Real Time Data Transmission from Underwater Network to base station using AUV and UAV relays.
574,CPPER: A Controlled Partial Prioritized Experience Replay for Reinforcement Learning in its Multi-Agent extension
576,Machine Learning Observation on the Prediction of Diabetes Mellitus Disease
580,Model Order Reduction of Continuous Time System using Artificial Gorilla Troops Algorithm 
582,Advanced Convolutional Neural Network Model to Identify Melanoma Skin Cancer
588,An advanced cuckoo search algorithm based-reliability improvement of an islanded microgrid
589,Recommendations to increase the customer interaction of e-commerce applications with web usage mining
597,Resolving Single-Sentence Answers for the development of an Automated Assessment Process 
599,Establishing trust in 'Digital Cinema Initiative' compliant devices using permissioned blockchain
600,Genetic Algorithm based Feature Selection to Enhance Breast Cancer Classification
604,Explainable IoT Forensics: Investigation on Digital Evidence
605,Deploying NLP techniques in Twitch application to comprehend online user behaviour
608,Machine Learning Model to Detect Chronic Leukemia in Microscopic Blood Smear Images
609,A Compatible Hexadecimal Encryption-Booster Algorithm for Augmenting Security in the Advanced Encryption Standard
610,Design and Development of secure RFID Based Health Card for integrating Various Health Services
613,LSTM Based Container Scheduling In Kubernetes
616,LightUNet++: A Simplified UNet++ Architecture for Multimodal Biomedical Image Segmentation
618,A Deep Learning Approach to detect Plagiarism in  Bangali Texual Content Using Similarity  Algorithms
624,Volume Control feature for gesture recognition in Augmented and Virtual reality applications
632,Sentiment Analysis on Educational Tweets: A Case of National Education Policy 2020
634,Preprocessing Big Data using Partitioning Method for Efficient Analysis
636,Modified Support Vector Machine to Improve Diabetic Disease Prediction
638,Toxic Comment Classification Using S-BERT Vectorization and Random Forest Algorithm
644,Transforming Pediatric Healthcare with CKD using AI: A Systematic Mapping
650,Technique to improve user?s perceptibility of audio in noisy environments
656,An exploration of impact of Feature quality versus Feature quantity on model training and performance 
663,A Study of the Resource Allocation Mechanism for Secure Video Transmission in 5G Networks
665,Survey of Crop Identification Using Hyperspectral Satellite Images
666,Mathematical Analysis of Two and Three Unit Standby System along with Goodwill Loss using Regenerative Point Technique
669,A Microstrip Line-fed Slot Antenna with Inverted L- Shaped Stub for Application in Communication Systems
670,Sentiment and Emotion Analysis of Significant Diseases in India and Russia
671,Sustainability Indicators and Ten Smart Cities Review
672,Mischievous URL Prediction Through Supervised Machine Learning Algorithms
673,Insider Threat Classification Using KNN Machine-Learning Techniques 
674,Twitter Sentiment Analysis using Machine Learning Techniques: A Case Study of ChatGPT
